Código;Produto;Quantidade;Preço Unitário;Preço Total
1;Camiseta;7;R$50,00;R$350,0
2;Calça;5;R$120,00;R$600,00
3;Tênis;8;R$200,00;R$1600,00
4;Jaqueta;2;R$300,00;R$600,00
5;Meia;20;R$10,00;R$200,00
6;Boné;15;R$25,00;R$375,00
7;Mochila;5;R$150,00;R$750.0
8;Relógio;4;R$250,00;R$1000,00
9;Óculos de Sol;7;R$180,00;R$1260,00
10;Cinto;12;R$40,00;R$480,00
11;Sapato;6;R$220,00;R$1320,00
12;Carteira;10;R$75,00;R$750,00
13;Gorro;8;R$30,00;R$240,00
14;Blusa;5;R$110,00;R$550,00
15;Vestido;3;R$200,00;R$600,00
16;Saia;7;R$80,00;R$560,00
17;Chinelo;18;R$20,00;R$360,00
18;Casaco;2;R$350,00;R$700,00
19;Luva;10;R$35,00;R$350,00
20;Calção;9;R$60,00;R$540,00
21;Blusa;12;R$75,00;R$900,00
22;Polo;10;R$85,00;R$850,00
23;Calça Jeans;6;R$140,00;R$840,00
24;Blazer;4;R$450,00;R$1800,00
25;Sapato Social;5;R$300,00;R$1500,00
26;Sapatilha;8;R$120,00;R$960,00
27;Sandália;15;R$70,00;R$1050,00
28;Bota;3;R$400,00;R$1200,00
29;Camisa Polo;7;R$95,00;R$665,00
30;Legging;10;R$60,00;R$600,00
31;Shorts;12;R$80,00;R$960,00
32;Macacão;5;R$200,00;R$1000,00
33;Gorro;20;R$20,00;R$400,00
34;Camiseta Regata;18;R$40,00;R$720,00
35;Suéter;9;R$130,00;R$1170,00
36;Camisola;6;R$110,00;R$660,00
37;Blusa de Frio;7;R$250,00;R$1750,00
38;Chapéu;8;R$120,00;R$960,00
39;Colete;5;R$180,00;R$900,00
40;Uniforme;15;R$80,00;R$1200,00
41;Sapato Esportivo;10;R$270,00;R$2700,00
42;Calça Moletom;12;R$95,00;R$1140,00
43;Sobretudo;3;R$550,00;R$1650,00
44;Calça Social;7;R$180,00;R$1260,00
45;Vestido Longo;6;R$240,00;R$1440,00
46;Saída de Praia;10;R$50,00;R$500,00
47;Maiô;12;R$90,00;R$1080,00
48;Biquíni;15;R$75,00;R$1125,00
49;Kimono;5;R$350,00;R$1750,00
50;Moleton;8;R$160,00;R$1280,00
51;Sandália Alta;6;R$220,00;R$1320,00
52;Sapato Feminino;5;R$180,00;R$900,00
53;Chinelo Slide;20;R$45,00;R$900,00
54;Touca;25;R$15,00;R$375,00
55;Pijama;10;R$95,00;R$950,00
